name,allegiance,government,primaryEconomy,secondaryEconomy,security,population,controllingFaction.name
Ross 671,Independent,Cooperative,Industrial,Refinery,High,71950830,Hutton Orbital Truckers Co-Operative
Panitollemi,Federation,Corporate,Refinery,Extraction,Low,166817,Panitollemi Company
Bubians,Federation,Corporate,Extraction,None,Low,2340,Sirius Special Forces
Hidatsa,Federation,Corporate,Industrial,Extraction,Medium,13449909,Sirius Special Forces
Ngauna,Independent,Patronage,Industrial,None,Medium,6033432,Quebecois Patriots
LHS 224,Federation,Corporate,Military,Industrial,Low,47986,Earth Defense Fleet
LHS 1885,Federation,Democracy,Refinery,Extraction,Medium,57264,Federal Delta Division
Ross 730,Federation,Corporate,Refinery,Extraction,Medium,180649,Ross 730 Silver Energy Services
LHS 1923,Independent,Feudal,Colony,Refinery,Medium,195604,Monarchy of LHS 1923
LHS 2088,Alliance,Confederacy,High Tech,Refinery,Medium,22390841,Terran Colonial Forces
LP 64-194,Alliance,Confederacy,Extraction,Colony,Low,7158,Terran Colonial Forces
Rakapila,Independent,Corporate,Industrial,High Tech,Medium,89080,New Pilots Initiative
G 139-3,Federation,Corporate,Refinery,Industrial,Medium,5051262,G 139-3 Vision & Co
LHS 3246,Federation,Democracy,Refinery,Extraction,Medium,133392,Revolutionary LHS 3246 Green Party
Blodyaksas,Federation,Democracy,Refinery,Military,Medium,110529,Federal Expeditionary Armed Response
Gama,Independent,Communism,Extraction,Refinery,Medium,27818,Citizen Party of Chireni
Styx,Independent,Corporate,Refinery,Extraction,Medium,174037,New Pilots Initiative
Mabe,Alliance,Corporate,High Tech,Refinery,Medium,20795215,Capsule Corp Interstellar
LHS 2637,Alliance,Corporate,High Tech,Refinery,High,11158950,Perez Ring Brewery
Mafthruthin,Federation,Corporate,Agriculture,Extraction,Medium,283546333,Starlance Alpha
Khruvandji,Empire,Corporate,Industrial,Colony,High,6238004,G.O.M. Collective
Onyaks,Empire,Corporate,Terraforming,Refinery,Medium,541425,Onyaks Services
Kavalliyala,Independent,Cooperative,Industrial,Extraction,High,15295276,Celestial Light Brigade
Pai Ho,Empire,Corporate,Extraction,Refinery,Low,45582,East India Company
Sibio,Independent,Cooperative,Industrial,None,Medium,1241816,The Silent Guardians
Nipiates,Empire,Patronage,Industrial,Colony,Medium,43075,Imperial Dragoons
Farowalan,Independent,Democracy,Industrial,Extraction,Medium,8844964,Simbad Regime
GR 316,Empire,Corporate,Refinery,None,Low,26663,East India Company
Arngi,Empire,Patronage,Extraction,Refinery,Low,16236,Imperial Self Defense Force
Coelatuvean,Independent,Democracy,Tourism,Colony,Low,426505,Paladin Consortium
Anayali,Independent,Corporate,Colony,Refinery,Low,62883,SSL Interstellar PLC
Thosagii,Empire,Patronage,Refinery,Extraction,High,72121,Kelin Samba Guardians
Ancanec,Independent,Democracy,Industrial,Military,Medium,5152160,Simbad Regime
G 268-47,Independent,Cooperative,Industrial,Refinery,High,16801859,Teaka Elite Altruists Bagging Cooperative
Maeve,Empire,Feudal,Extraction,Colony,Low,4120,Praetorian Curiate Assembly
Tenma,Independent,Cooperative,High Tech,Extraction,Low,14524,Colonia Travel Agency
LHS 1561,Federation,Democracy,Colony,Industrial,Low,71393,Movement for LHS 20 Liberals
LFT 174,Federation,Corporate,High Tech,Refinery,High,13662587,Origin Systems United
LHS 1197,Federation,Democracy,High Tech,Refinery,High,13662847,Independent LHS 1197 Values Party
LHS 3804,Independent,Feudal,High Tech,Extraction,Medium,78276,Equestrian Naval Fleet
Tharwangu,Federation,Corporate,Extraction,None,Low,2917,Sirius Special Forces
Bonawen,Independent,Dictatorship,Industrial,Military,Low,2166959,League of Bonawen Law Party
Hou Warwa,Federation,Corporate,Industrial,None,Low,2077108,Sirius Special Forces
LHS 380,Independent,Corporate,Industrial,Extraction,High,11251719,Star Pilots
Wolf 629,Independent,Democracy,Agriculture,Refinery,Low,50671,The Dark Wheel
Isleta,Independent,Dictatorship,Industrial,Extraction,High,22106821,EG Union
Deceangli,Independent,Communism,Industrial,Colony,Low,2158338,Citizen Party of Grabil
Brokpoi,Independent,Communism,Industrial,Military,Low,1390650,Workers of Manite Labour Union
Chan Mina,Independent,Democracy,Extraction,Refinery,Low,22160,Caballeros de Sion
GQ Virginis,Independent,Democracy,High Tech,Refinery,High,14133544,Alchemy Den
Bastan,Independent,Democracy,Refinery,Extraction,Low,21231,ACE Exploration
LHS 2260,Independent,Corporate,High Tech,Refinery,High,24538623,New Pilots Initiative
LHS 350,Alliance,Corporate,High Tech,Extraction,Medium,5979287,Alliance Office of Statistics
Yan Crua,Independent,Communism,Extraction,Refinery,Low,39891,Revolutionary HIP 86385 Union Party
LP 377-78,Alliance,Corporate,Agriculture,Refinery,High,3008989411,Alliance Office of Statistics
Chino,Empire,Corporate,Refinery,Colony,Medium,128183,BFNF Solutions
Na Chipini,Independent,Communism,Terraforming,Extraction,Medium,221540,Citizen Party of Na Chipini
Chapsugai,Empire,Patronage,Military,Industrial,Low,25939,Quantum Intelligence Enterprise
Strianji,Empire,Patronage,Industrial,Extraction,Medium,20159791,First Imperial Fleet
Bodhi,Empire,Patronage,Industrial,High Tech,Low,5492,Imperial Dragoons
Malanges,Independent,Corporate,Industrial,Extraction,Medium,5909040,Hellraiser Inc.
Ingariko,Independent,Democracy,Refinery,Extraction,Low,85482,Simbad Regime
Sherbo,Independent,Democracy,Industrial,Extraction,Medium,10570876,Simbad Regime
Lemonites,Empire,Patronage,High Tech,Military,Medium,100153,Lemonites Empire League
Dierites,Empire,Patronage,Agriculture,Refinery,Medium,430625753,Umaspi Emperor's Grace
Aninohanu,Empire,Corporate,High Tech,Industrial,Low,76622,G.O.M. Collective
Dulos,Empire,Patronage,Agriculture,Refinery,Medium,564373351,First Imperial Fleet
Rauta,Independent,Corporate,High Tech,Refinery,High,7613552,Varangian Syndicate
Gooheim,Empire,Corporate,Extraction,None,Low,2237,Gooheim General Holdings
Parja,Empire,Patronage,Colony,Terraforming,Medium,209302,Parja Citizens' Forum
Hyades Sector ST-Q b5-6,Independent,Dictatorship,Military,Extraction,Low,237672,Close Encounters Corps
Dilgariang,Empire,Patronage,Refinery,None,Low,20592,Brazilian Imperial Society of Pilots
LHS 184,Empire,Corporate,Refinery,Industrial,Medium,2686732,East India Company
Laklang,Independent,Democracy,Refinery,Extraction,Low,39166,Casual Crew
Ongkara,Independent,Communism,Refinery,Agriculture,Medium,48203,United Fintamkina Left Party
Sukte,Independent,Corporate,Industrial,Extraction,High,19048471,Galaxy Connect Enterprise
Col 285 Sector YG-I b24-6,Independent,Confederacy,Refinery,None,Low,116153,Crimson Armada
LHS 22,Federation,Corporate,Industrial,Extraction,Medium,22183772,LHS 22 Gold Life & Co
Snotricopa,Independent,Corporate,Industrial,Colony,Low,4946021,Omega Merchant Command
Cahuile,Independent,Democracy,Refinery,None,Low,23430,EXO
LHS 263,Federation,Corporate,Industrial,Refinery,High,46708337,LHS 263 Universal Corporation
LFT 1349,Independent,Patronage,Refinery,Military,Low,52427,Arbor Caelum Internal Defense
Asurasairu,Independent,Corporate,Industrial,Refinery,Medium,47095313,The 100 Zeros Club
Tzotzicni,Independent,Communism,Refinery,Extraction,Low,88521,Citizen Party of Grabil
Zmeyang,Independent,Communism,Industrial,Colony,Low,2171067,Citizen Party of Grabil
Ryujingit,Federation,Confederacy,Extraction,Industrial,Low,34255,Ryujingit Confederation
Jita Ten,Independent,Democracy,Industrial,Refinery,High,16481788,Flotta Stellare
LHS 2065,Independent,Corporate,Refinery,High Tech,Low,42002,Star Pilots
LHS 2429,Federation,Corporate,Refinery,Industrial,High,7858671,Collective of Independent Agents
Ghimal,Independent,Corporate,Military,High Tech,Medium,132191,Atlas Corporation
Loki Tan,Alliance,Democracy,Industrial,Refinery,High,9175114,Flat Galaxy Society
Shouvul,Independent,Democracy,Industrial,Refinery,High,15592437,Benelux Commanders
LP 542-33,Independent,Democracy,Tourism,None,Low,619763,Flotta Stellare
LP 734-32,Alliance,Patronage,Industrial,Military,Low,3827822,LHS 2541 Alliance Combine
Clee,Independent,Communism,Agriculture,Refinery,High,1239560633,Communist Interstellar Union
Pomoco,Independent,Communism,Refinery,Industrial,Low,35472,Communist Interstellar Union
Mauninovit,Independent,Cooperative,Refinery,High Tech,Low,31229,Mauninovit as one
Narakwates,Empire,Patronage,Industrial,Extraction,Medium,38147164,Likedeeler of Michel
Bilobor,Empire,Patronage,Agriculture,High Tech,Low,49498,Elite United Worlds
Karasvara,Empire,Patronage,Terraforming,Industrial,Medium,79043389,Karasvara Imperial Society
Eotienses,Empire,Patronage,Agriculture,Refinery,Medium,6467401235,Eotienses Citizens' Forum
Ngaduni,Empire,Corporate,Refinery,None,Low,65682,Ngaduni Jet Fortune PLC
Tacare,Independent,Confederacy,Industrial,None,Medium,1000207,Brazilian League of Pilots
Mebegernir,Empire,Corporate,Industrial,Extraction,Medium,26958244,L.Y.S Corp.
Kausha,Independent,Dictatorship,Military,Refinery,Medium,100429,The Sovereign Justice Collective
Carnaring,Empire,Corporate,High Tech,Extraction,Low,20452,Carnaring Gold General Company
Chemaya,Independent,Corporate,Refinery,Terraforming,Medium,160639,Hellraiser Inc.
Valteki,Empire,Feudal,Refinery,Agriculture,Low,27365,Dukes of Kachakapa
Buzhang Ku,Empire,Corporate,Agriculture,Tourism,Medium,2060061953,East India Company
Changur,Empire,Feudal,Military,Refinery,Medium,42410,Monarchy of Changur
Anuma,Independent,Communism,High Tech,Agriculture,Low,7342,Union of Laguvii
Orejon,Independent,Democracy,Industrial,None,Low,904626,Orejon Independents
Samasaei,Federation,Corporate,Refinery,Extraction,Low,61463,61 Mu Orionis Universal Corporation
Usipedi,Independent,Democracy,Industrial,Extraction,Medium,7068895,Galileo Corporation
Arth,Federation,Corporate,High Tech,Refinery,Medium,6533083,Arth Jet Netcoms & Co
Sungai,Federation,Corporate,Industrial,Refinery,High,8944445,Sungai Blue Legal Industry
New Chana,Independent,Patronage,Industrial,Refinery,Medium,260063416,Marlinists of New Chana
LFT 625,Federation,Democracy,High Tech,Refinery,High,6072414,Fionn Liberals
Geawete,Independent,Corporate,Industrial,Extraction,Medium,26430062,SSL Interstellar PLC
Serda,Independent,Communism,Industrial,High Tech,Low,2912028,Communist Interstellar Union
Pisaly,Independent,Democracy,Agriculture,Industrial,High,2102460852,Benelux Commanders
LP 906-9,Independent,Corporate,High Tech,Refinery,High,15192792,Ace Pilot Association
Tvasuki,Federation,Corporate,Refinery,Extraction,Low,123663,Terra-EX Astro Corp
Maro,Federation,Corporate,Extraction,High Tech,Low,53609,Terra-EX Astro Corp
Salibala,Independent,Communism,Agriculture,Military,Medium,278411805,Communist Interstellar Union
Birangana,Independent,Democracy,Refinery,Extraction,Low,44094,Union of Jath for Equality
Telenisates,Federation,Corporate,Extraction,Terraforming,Medium,152305,Starlance Alpha
Jardama,Empire,Patronage,Agriculture,High Tech,Low,35920,Elite United Worlds
Geawer,Independent,Cooperative,Military,Extraction,High,184218,Freelancers Alliance
Liu Hesan,Empire,Patronage,Refinery,Extraction,Medium,262002,Liu Hesan Patrons of Law
Hun Chians,Empire,Corporate,Refinery,Colony,Medium,137106,Bilobor Corporation
Jalabon,Independent,Democracy,Colony,Refinery,Medium,118724,Interstellar Strike Group 108
Lobed,Empire,Feudal,Extraction,None,Low,2408,Morai Nobles
Textovices,Empire,Patronage,Refinery,Tourism,High,259068,Kuan Ti Imperial Society
Jeterait,Empire,Dictatorship,Agriculture,Refinery,High,2823974888,Ancient World Order
Bhutie,Independent,Cooperative,Refinery,None,Low,77152,Celestial Light Brigade
Aguano,Empire,Patronage,Terraforming,Extraction,Medium,154835299,Aguano Patron's Principles
Heverduduna,Empire,Patronage,Industrial,Military,Medium,7036671,Tell's Wrath of Ugrivirii
Krobrigae,Empire,Patronage,Industrial,None,Medium,1848848,Chuen Patron's Principles
Chehoong Po,Empire,Feudal,Extraction,Refinery,Medium,100786,Royal Elite of the Grand Duke
Ekoimurt,Empire,Feudal,Military,Refinery,Medium,118109,13th Legion
Ngadandari,Independent,Cooperative,Colony,Extraction,Medium,106388,Ngadandari One
Bolowala,Empire,Patronage,Industrial,Extraction,Low,3388953,GCRV 3204 Imperial Society
Ibor,Empire,Patronage,Refinery,Extraction,Medium,38823,The 9th Legion
Sanka,Empire,Corporate,Military,Refinery,Low,63482,L.Y.S Corp.
Li Chong,Empire,Corporate,Refinery,Agriculture,Low,68315,Samebito Purple Advanced Company
Malibata,Empire,Feudal,Refinery,Extraction,Medium,209015,13th Legion
Carvii,Empire,Patronage,Extraction,None,Medium,4151,1st Galactic Line of Defence
San Huang,Independent,Confederacy,High Tech,Refinery,Medium,6534286,Brazilian League of Pilots
Chuelche,Federation,Corporate,Agriculture,Military,Low,141699,Ice Storm Squadron
Huangais,Independent,Democracy,Industrial,Refinery,High,63277834,Impavida Vitus
Walgal,Empire,Feudal,Industrial,Refinery,High,21497833,Earls of Velabri
Yenada,Independent,Confederacy,Extraction,Refinery,Low,37994,The Wolf Society
Orisater,Empire,Feudal,Extraction,High Tech,Medium,42058,Occitania Pioneers
Macoceleuta,Federation,Corporate,Industrial,Extraction,High,9852603,Federal Liberal Command
Momoirent,Federation,Democracy,Refinery,Industrial,High,14065471,Revolutionary Momoirent Green Party
Akandi,Federation,Corporate,Agriculture,Colony,Low,6696,Ice Storm Squadron
Varli,Federation,Democracy,Industrial,Extraction,Medium,6666685,Values Party of Varli
Scorpii Sector ON-T b3-6,Independent,Corporate,High Tech,Refinery,Low,1347499,Scorpius Arms Syndicate
Pimarisi,Independent,Corporate,Extraction,Refinery,Low,25424,Aesir Heavy Industries
Panopi,Federation,Corporate,Refinery,Extraction,Low,41038,Federal Reclamation Co
Krauanan,Independent,Democracy,Extraction,None,Low,7965,Brotherhood of the Void
Jawola,Independent,Democracy,Refinery,Extraction,Low,40412,Union of Jath for Equality
Scorpii Sector KX-T b3-6,Independent,Cooperative,Extraction,Military,Low,612519,Fortunes Corsairs
Zoquagsang,Independent,Feudal,Industrial,Refinery,Medium,4883556,Leaders of Kumbaya
Turomes,Empire,Patronage,Industrial,Extraction,Medium,8194795,Turomes Guardians of Tradition
Miao Wang,Empire,Patronage,Extraction,None,Low,4129,Miao Wang Emperor's Grace
Comanes,Empire,Corporate,Refinery,Extraction,Medium,264196,House of Saga
Murus,Empire,Patronage,Refinery,Military,Low,91108,Lavigny's Legion
Aurgel,Empire,Feudal,Extraction,Refinery,Low,23626,Aristocrats of Aurgel
Belaba,Independent,Cooperative,Extraction,None,Medium,2651,Aisling's Angels
Andhan,Independent,Cooperative,Extraction,Agriculture,Medium,118206,Aisling's Angels
Nauana,Independent,Cooperative,Industrial,Colony,Medium,3176095,Celestial Light Brigade
Gunwin,Empire,Patronage,Industrial,Colony,Medium,5228258,Turkish Galactic Empire
Narai,Empire,Patronage,Agriculture,Terraforming,Medium,550561456,Ngorowai Empire League
Lutni,Empire,Feudal,Refinery,Extraction,Medium,290853,Royal Elite of the Grand Duke
Calea,Empire,Corporate,Refinery,Extraction,Medium,679951,Daily Routine Incorporated
Garitio,Empire,Patronage,Colony,Refinery,Medium,179952,Booty Bay Butchers
Kutjara,Independent,Prison Colony,Industrial,Agriculture,Low,23342,EDA Kunti League
Phra Zhons,Independent,Democracy,Industrial,Extraction,Medium,21807933,Society Of Greybeards
Narantan,Empire,Patronage,Industrial,Military,High,5884675,1st Galactic Line of Defence
Minjul,Empire,Patronage,Colony,Extraction,Low,4852,Minjul Citizens' Forum
Segeirre,Independent,Confederacy,Military,Extraction,Low,40664,Brazilian League of Pilots
Enuma,Federation,Democracy,Refinery,Extraction,Low,161948,Federal Security Administration
Yamasan,Federation,Corporate,Military,Refinery,Medium,154377,Federal Liberal Command
Akandinigua,Independent,Dictatorship,Extraction,Refinery,Low,882793,Conservatives of Tiliala
Mebes,Empire,Patronage,Industrial,Extraction,Medium,24280393,Cao Guatun Empire Consulate
Ruwachis,Empire,Dictatorship,Industrial,Refinery,High,49252114,Sitakapan Expeditionary Forces
Fer Doira,Empire,Corporate,Agriculture,Industrial,High,633976204,Platinum Imperia Mining Ltd
Tabwa,Empire,Corporate,Industrial,Extraction,Medium,5755961,Platinum Imperia Mining Ltd
Ailuremowo,Independent,Anarchy,Industrial,Extraction,Anarchy,13584710,Explorers of the Anarchy
Kuanes,Federation,Corporate,Industrial,Extraction,Medium,11483867,Federal Liberal Command
Carini,Federation,Corporate,Refinery,Extraction,Medium,504937,Ice Storm Squadron
Docleachi,Federation,Confederacy,Refinery,Industrial,Medium,5101342,Falcons' Nest
Lu Dongbin,Independent,Corporate,Refinery,High Tech,Low,27851,Olelbis Holdings
Fugeth,Federation,Corporate,Extraction,Industrial,Medium,2022336,Fugeth Industries
Yamandara,Empire,Corporate,Colony,Refinery,Low,13457,Platinum Imperia Mining Ltd
Col 285 Sector RP-K b23-6,Independent,Cooperative,Extraction,Refinery,Low,6156,Fortunes Corsairs
Tumuye,Federation,Corporate,Agriculture,Extraction,Low,6325,Federal Liberal Command
Chagin,Federation,Corporate,Colony,Refinery,Medium,108815,Federal Liberal Command
Maridwyn,Federation,Corporate,Agriculture,Refinery,High,4058074576,Maridwyn Co
Aranbarahun,Federation,Democracy,Agriculture,Industrial,High,2051044702,The Shadow Navy
Koller,Independent,Anarchy,Extraction,Industrial,Anarchy,3225264,Koller Blue Dragons
Breucosia,Independent,Democracy,Terraforming,Industrial,Medium,3057889,Union of Jath for Equality
Caillapit,Independent,Democracy,Refinery,Agriculture,Medium,74807,Union of Jath for Equality
Iktock,Empire,Corporate,Industrial,Colony,Medium,4715227,Hernovacle Crimson Galactic Ltd
Altani,Empire,Dictatorship,Industrial,Refinery,High,9221322,Defence Force of Altani
Samata,Independent,Cooperative,Extraction,Military,Medium,109101,Celestial Light Brigade
Siddi Di,Federation,Corporate,Military,Extraction,Low,4987,Steel Wolves Aegis Tactical
Kongan,Empire,Dictatorship,Military,Extraction,Medium,75896,Shield of the Empire
Maris,Independent,Cooperative,Military,Refinery,High,291192,The Order of Mobius
Whadicates,Independent,Cooperative,High Tech,Industrial,Low,8199,Aisling's Angels
Tolokitan,Empire,Patronage,Extraction,Refinery,Medium,28637,United Imperial Loyalists
Thos,Empire,Patronage,High Tech,Extraction,Low,20259,Tenchih Imperial Society
Vashishtha,Empire,Corporate,Industrial,None,Medium,5928833,Vashishtha Power Corporation
Cheditjala,Independent,Confederacy,Extraction,Agriculture,Low,17141,Brazilian League of Pilots
Tabalban,Independent,Prison Colony,Refinery,Industrial,Low,29827,EDA Kunti League
Kukuan,Independent,Dictatorship,High Tech,Refinery,Medium,57185,Party of Yoru
Windumlia,Independent,Cooperative,Colony,Extraction,Low,97547,Windumlia Co-operative
Kutjalkini,Independent,Communism,Colony,Extraction,Medium,176643,People's Kutjalkini Unionists
Pyemmatsety,Empire,Patronage,Extraction,Industrial,Medium,2476089,HIP 39330 Imperial Society
Shenggan,Empire,Patronage,Industrial,Military,Low,1110928,Imperial Enforcement Division
Hehebeche,Empire,Corporate,Extraction,High Tech,Medium,135596,Marrenses Services
Mombilar,Federation,Democracy,Extraction,High Tech,Medium,130223,Federal Security Administration
Cofalyawa,Federation,Democracy,Industrial,High Tech,Medium,3990953,Cofalyawa Free
Pilintana,Federation,Confederacy,Refinery,Terraforming,Medium,687778,CD-51 4783 Confederation
Kirrae,Empire,Patronage,Colony,High Tech,Low,130360,Imperial Enforcement Division
Turberamoan,Empire,Patronage,Military,Agriculture,Low,16365,Imperial Enforcement Division
Attacates,Empire,Corporate,Agriculture,Industrial,High,500441369,Platinum Imperia Mining Ltd
Ramapani,Independent,Corporate,Industrial,Extraction,Medium,5940568,Congressus Tenebris
Lei Bei,Independent,Feudal,Refinery,Agriculture,Medium,90289,Ryders of the Void
Mado,Federation,Corporate,Refinery,Extraction,Medium,68633,Milceni Galactic Incorporated
Kagutine,Federation,Confederacy,Agriculture,Colony,Low,3505,Confederation of Kagutine
Muras,Independent,Dictatorship,Extraction,None,Low,1530,PLOID
Julanito,Independent,Cooperative,Colony,Extraction,Low,1695,Dijkstra PLC
Thadaguru,Independent,Cooperative,Refinery,High Tech,Medium,74226,Dijkstra PLC
Arungu,Independent,Cooperative,Refinery,Extraction,Medium,17905,Heru Initiative
Lao Yanes,Independent,Communism,Colony,Extraction,Low,198349,Viroman Left Party
Basikasingo,Independent,Communism,Extraction,None,Low,2090,Union of HIP 104453
Yen Kuikul,Empire,Corporate,Refinery,High Tech,Low,98479,Yen Kuikul Jet United Solutions
Nemgla,Empire,Patronage,Agriculture,Extraction,Low,24665,Chapterhouse of Inquisition
Halamaitu,Empire,Patronage,High Tech,Extraction,Low,15479,The 10th Legion
Ceut,Independent,Cooperative,Extraction,High Tech,Low,9362,The Guard of Outer Imperial Colonies
Praesvatada,Empire,Patronage,Agriculture,Extraction,Medium,17945,1st Galactic Line of Defence
Djenni,Empire,Feudal,Refinery,Colony,Medium,123621,Gerseklis Nobles
Saha,Independent,Dictatorship,Extraction,None,Low,2603,Union Cosmos
Nandinia,Empire,Patronage,Extraction,High Tech,Low,10872,Irony of Fate
Onuras,Empire,Patronage,Industrial,None,Medium,2941407,1st Galactic Line of Defence
Meduwang,Empire,Dictatorship,Industrial,Military,Medium,2626135,Allied Witoa Dominion
Njungum,Empire,Patronage,Extraction,None,Low,2704,Royal Praetorian Guard
Korenses,Independent,Cooperative,Refinery,High Tech,Medium,47339,Daiburi Stakeholders
Muku,Empire,Patronage,Refinery,Extraction,Low,99883,Imperial Enforcement Division
Renet,Empire,Patronage,Colony,Extraction,Low,88853,Imperial Enforcement Division
Selkabere,Empire,Corporate,Extraction,Industrial,Medium,4707192,Platinum Imperia Mining Ltd
Zhang Fei,Independent,Feudal,Industrial,Military,Low,2218402,Ryders of the Void
Col 285 Sector PJ-M b22-6,Independent,Democracy,Refinery,Extraction,Low,25630,United HIP 69074 Labour
Liu Yines,Independent,Feudal,High Tech,Refinery,Medium,6752933,Ryders of the Void
Col 285 Sector JI-O b21-6,Independent,Communism,Colony,None,Low,101171,Citizen Party of Qi Yum Crua
Tylis,Independent,Communism,High Tech,Refinery,Low,29816,New Perktomen Left Party
Pyemmar,Federation,Democracy,Agriculture,Extraction,Low,10188,Union of Yenic Resistance
Oloduma,Federation,Corporate,Extraction,High Tech,Low,38938,Oloduma Universal Ltd
Kamcabea,Independent,Cooperative,Industrial,Extraction,Medium,6377711,Starstone Enterprises
Umaiali,Independent,Cooperative,Agriculture,Extraction,Low,82724,Orion Republic
Pirantae,Independent,Cooperative,Industrial,Extraction,Medium,23756366,The Free Milky Way Cooperative
Aurawala,Empire,Corporate,Extraction,None,Low,18277,Sentinel of Candlelight
Lexovit,Independent,Cooperative,Extraction,None,Low,6436,HIP 3470 as one
Gamil,Empire,Patronage,High Tech,Extraction,Low,3042,Imperial Liquidation Bureau
Li Trytho,Empire,Feudal,Extraction,None,Low,2404,Li Trytho aristocrats
Kosha,Empire,Patronage,Industrial,Colony,High,5261000,Lavigny's Legion
Quamte,Empire,Patronage,Extraction,None,Low,2146,HIP 29444 Empire Consulate
Pequenenses,Empire,Corporate,Extraction,Industrial,High,7814831,Ese Eyo Co
Hun Nighu,Empire,Patronage,Extraction,Agriculture,Low,12812,1st Galactic Line of Defence
Samenses,Independent,Democracy,Colony,High Tech,Low,96305,The Northern Culture
Intec,Empire,Patronage,Extraction,Agriculture,Low,15366,Talon Order
Agulmanji,Empire,Dictatorship,Agriculture,Extraction,Medium,18546,Bureau of Ruhang Flag
Shaplintin,Independent,Patronage,High Tech,Refinery,Medium,3495803,Celtibitou Indie League
Aobrigen Nu,Federation,Confederacy,Agriculture,Refinery,Medium,67701,HIP 54846 Confederation
Daisla,Independent,Corporate,Extraction,High Tech,Low,28443,HIP 37171 Major Network
Col 285 Sector AF-E b13-6,Independent,Corporate,Colony,None,Low,193852,Epsilon Eunoia Corporation
Djeriman,Independent,Feudal,Industrial,Extraction,Medium,9167899,Ryders of the Void
Andharas,Independent,Feudal,Industrial,High Tech,Low,1829851,Ryders of the Void
Obotrimpox,Independent,Democracy,Military,Refinery,Low,11167,Pilots of the Catalan Republic
Alawaiteri,Independent,Corporate,Extraction,None,Low,3110,The Dutch Fleet
Rabakama,Federation,Democracy,Industrial,Colony,Low,1984676,Future of Vaizdiko
Grans,Independent,Democracy,Extraction,None,Low,7736,Phoenix Federation
Firboleche,Independent,Corporate,Refinery,Extraction,Low,28129,Firboleche Gold Transport Prtnrs
Kafigenon,Federation,Democracy,Industrial,Extraction,High,14608316,Green Party of Angua
Antliae Sector SO-R b4-6,Independent,Corporate,Military,Industrial,Low,43927,Chuangubu Group
Col 285 Sector EH-Q b20-6,Independent,Cooperative,Refinery,Colony,Low,390219,Orion Republic
Chinggamin,Independent,Dictatorship,Terraforming,Refinery,Medium,286097,Union Cosmos
Kalikil,Empire,Patronage,Extraction,Refinery,Medium,203856,Kalikil Patron's Principles
Kamchadals,Empire,Dictatorship,High Tech,Extraction,Medium,12135093,The Imperial Inquisition
Bela Oh,Independent,Cooperative,Refinery,Military,Medium,431106,Ordo Corona Stellarum
Berindraci,Empire,Feudal,High Tech,Extraction,Low,16015,Bellona Military Nobles
Byerri,Independent,Communism,Refinery,Terraforming,Low,156438,Republic Party of Byerri
Zhao Gong,Empire,Corporate,Extraction,High Tech,Low,2846,Zhao Gong Public Inc
Leucosi,Empire,Corporate,Military,Refinery,Medium,352864,Leucosi Services
Buganda,Empire,Feudal,Refinery,Agriculture,Medium,165290,Order of the Imperial Knights
Ki Laufey,Federation,Democracy,Extraction,Industrial,Medium,1512683,Ki Laufey Free
Fandi,Independent,Cooperative,Military,Extraction,Low,838,Union of Pioneer Pilots
Col 285 Sector TY-W b16-6,Independent,Democracy,Refinery,Extraction,Low,836040,Pilots of the Catalan Republic
Antliae Sector FL-Y b6,Independent,Dictatorship,Refinery,None,Low,66286,Nationals of k Velorum A
Uayeb Xoc,Empire,Feudal,Agriculture,Extraction,Low,4011,Legion LXVI
Deoriorii,Independent,Theocracy,High Tech,Extraction,Low,4327,Sacra Oculus
Dassi,Independent,Theocracy,Extraction,None,Low,1930,Sacra Oculus
Coalsack Sector VU-O b6-6,Alliance,Corporate,Refinery,Extraction,Low,1560988,Alliance Expeditionary Pact
Edge Fraternity Landing,Independent,Patronage,Tourism,Extraction,Low,55562,Last Phoenix Vault
Magellan,Independent,Democracy,Tourism,Agriculture,Low,83296,Pioneers and eXplorers
Flyiedge VN-W c4-51,Independent,Corporate,Refinery,Extraction,Low,120619,Brewer Logistics
Mobia,Independent,Democracy,Industrial,Extraction,Medium,77122,MOBIUS COLONIAL REPUBLIC NAVY
Metztli,Independent,Corporate,Agriculture,Extraction,Medium,31923,Ukraine Colonist Alliance
Nyeajaae SC-B b33-7,Independent,Corporate,Refinery,None,Low,50000,Brewer Logistics
Ba Pin,Independent,Cooperative,Industrial,Colony,Low,2749637,Canonn
Omanmatho,Independent,Cooperative,Industrial,Extraction,Low,2948934,Canonn
Song Ku,Independent,Confederacy,Industrial,Extraction,Low,3138456,The L.O.S.P.
Lelae,Federation,Corporate,Industrial,High Tech,Low,1492861,Purple United Corporation
Nuitae,Independent,Confederacy,Industrial,Military,Low,3168253,Confederacy of Nuitae
Wadjetese,Independent,Confederacy,Refinery,Agriculture,Low,36524,Formidine Greybeard Guild
Opetani,Alliance,Corporate,Industrial,Extraction,Medium,4589963,Sap Core Legion
Gungu,Independent,Communism,Agriculture,Extraction,Low,5851,Guardians of Harmony
Tsonensei,Independent,Democracy,Refinery,Agriculture,Low,159699,Channel Zero
Holvandalla,Independent,Corporate,Extraction,Military,Medium,2751206,DaVinci Corp.
Mututnahpu,Independent,Democracy,Industrial,None,Low,2615629,Extreme Order of Light
