name,bodies.name,bodies.subType,bodies.spectralClass
Nana Buluku,Nana Buluku A,M (Red dwarf) Star,M3
Siris,Siris,M (Red dwarf) Star,M4
Sun Chuen,Sun Chuen A,T Tauri Star,TTS8
Aebocori,Aebocori,M (Red dwarf) Star,M0
Jaaka,Jaaka A,M (Red dwarf) Star,M3
Kavat,Kavat,T Tauri Star,TTS4
Hrans,Hrans,M (Red dwarf) Star,M5
Paesui Xena,Paesui Xena A,M (Red dwarf) Star,M5
Arabaka,Arabaka A,M (Red dwarf) Star,M2
Velli,Velli,M (Red dwarf) Star,M2
Bipedi,Bipedi,M (Red dwarf) Star,M6
Harrigus,Harrigus,M (Red dwarf) Star,M5
Harpakhe,Harpakhe A,M (Red dwarf) Star,M7
Thrigpa,Thrigpa,M (Red dwarf) Star,M2
Karaikda,Karaikda A,M (Red dwarf) Star,M2
Col 285 Sector LX-Y b15-3,Col 285 Sector LX-Y b15-3 A,M (Red dwarf) Star,M7
Burok,Burok,M (Red dwarf) Star,M6
Naduscapati,Naduscapati,M (Red dwarf) Star,M5
Rindrani,Rindrani,M (Red dwarf) Star,M3
Giguen,Giguen,M (Red dwarf) Star,M4
Anapel,Anapel,M (Red dwarf) Star,M6
Frigenses,Frigenses A,M (Red dwarf) Star,M3
Dindjeris,Dindjeris,M (Red dwarf) Star,M1
Vasudevas,Vasudevas A,M (Red dwarf) Star,M6
Jang Tun,Jang Tun,M (Red dwarf) Star,M8
Porja,Porja,M (Red dwarf) Star,M6
Bastae,Bastae,M (Red dwarf) Star,M1
Bamum,Bamum,M (Red dwarf) Star,M3
Narveti,Narveti A,T Tauri Star,TTS0
Gaezani,Gaezani,M (Red dwarf) Star,M1
Blandagur,Blandagur A,M (Red dwarf) Star,M3
Caspiat,Caspiat A,M (Red dwarf) Star,M0
Duc Babal,Duc Babal A,M (Red dwarf) Star,M0
Ten Mayan,Ten Mayan,M (Red dwarf) Star,M3
Andenwi,Andenwi A,M (Red dwarf) Star,M0
Njulans,Njulans,M (Red dwarf) Star,M3
Vogul,Vogul,M (Red dwarf) Star,M8
Savan,Savan,M (Red dwarf) Star,M1
Yenis,Yenis,M (Red dwarf) Star,M7
Swazakano,Swazakano,M (Red dwarf) Star,M0
Panganau,Panganau,M (Red dwarf) Star,M4
Nuna,Nuna,M (Red dwarf) Star,M0
Unutet,Unutet A,M (Red dwarf) Star,M9
Kojinbaia,Kojinbaia,M (Red dwarf) Star,M1
Vaiunites,Vaiunites A,T Tauri Star,TTS0
Chanyinyak,Chanyinyak A,T Tauri Star,TTS7
Croatigae,Croatigae A,M (Red dwarf) Star,M0
Dharani,Dharani,T Tauri Star,TTS4
Ek Zi Gu,Ek Zi Gu,M (Red dwarf) Star,M5
Cosiao,Cosiao,M (Red dwarf) Star,M6
Eleges,Eleges A,M (Red dwarf) Star,M3
Kigalky,Kigalky,T Tauri Star,TTS0
Rynchu,Rynchu,M (Red dwarf) Star,M0
Ao Kax,Ao Kax,M (Red dwarf) Star,M1
Ebana,Ebana,M (Red dwarf) Star,M3
Col 285 Sector YT-F b12-3,Col 285 Sector YT-F b12-3,M (Red dwarf) Star,M3
Adnyan,Adnyan,T Tauri Star,TTS8
Col 285 Sector YJ-E b13-3,Col 285 Sector YJ-E b13-3 A,M (Red dwarf) Star,M8
Antliae Sector CQ-Y b3,Antliae Sector CQ-Y b3,M (Red dwarf) Star,M0
Kuridwen,Kuridwen A,M (Red dwarf) Star,M3
San Gu,San Gu A,M (Red dwarf) Star,M6
Marahma,Marahma A,M (Red dwarf) Star,M5
Vocorimur,Vocorimur A,M (Red dwarf) Star,M9
Moan,Moan A,M (Red dwarf) Star,M3
Dhar,Dhar A,M (Red dwarf) Star,M1
Har Pa Kams,Har Pa Kams,M (Red dwarf) Star,M6
Basuseku,Basuseku A,M (Red dwarf) Star,M2
Damoorai,Damoorai,M (Red dwarf) Star,M4
Wulunges,Wulunges,M (Red dwarf) Star,M6
Keerama,Keerama,M (Red dwarf) Star,M2
Wasens,Wasens A,M (Red dwarf) Star,M8
Votadja,Votadja A,M (Red dwarf) Star,M5
Bongk,Bongk A,M (Red dwarf) Star,M5
Segovas,Segovas A,T Tauri Star,TTS9
Pirigen,Pirigen A,K (Yellow-Orange) Star,K9
Tacahuti,Tacahuti A,M (Red dwarf) Star,M8
Chaiyan,Chaiyan,T Tauri Star,TTS9
Tjeraringu,Tjeraringu,M (Red dwarf) Star,M1
Guai,Guai A,M (Red dwarf) Star,M3
Chingpho,Chingpho,M (Red dwarf) Star,M1
Kaniya,Kaniya A,M (Red dwarf) Star,M3
Tjiwan,Tjiwan,M (Red dwarf) Star,M6
Tepehured,Tepehured,M (Red dwarf) Star,M8
Bylli,Bylli A,M (Red dwarf) Star,M4
Parecomasci,Parecomasci,M (Red dwarf) Star,M3
Ramandji,Ramandji A,M (Red dwarf) Star,M4
Aarti,Aarti A,M (Red dwarf) Star,M1
"Etz'nama","Etz'nama",M (Red dwarf) Star,M4
Warians,Warians,M (Red dwarf) Star,M4
Lhanayi,Lhanayi,M (Red dwarf) Star,M1
Col 285 Sector JR-A b15-3,Col 285 Sector JR-A b15-3,M (Red dwarf) Star,M2
Chelmir,Chelmir A,M (Red dwarf) Star,M4
Antliae Sector RD-T b3-3,Antliae Sector RD-T b3-3 A,M (Red dwarf) Star,M4
Bhilonggam,Bhilonggam A,M (Red dwarf) Star,M5
Qi Yun Cech,Qi Yun Cech A,M (Red dwarf) Star,M3
Lopterones,Lopterones A,M (Red dwarf) Star,M1
Lycanthrope,Lycanthrope,A (Blue-White) Star,A0
Col 285 Sector TZ-O c6-27,Col 285 Sector TZ-O c6-27 A,T Tauri Star,TTS3
Eskit,Eskit A,K (Yellow-Orange) Star,K5
Col 285 Sector JY-H c10-27,Col 285 Sector JY-H c10-27 A,M (Red dwarf) Star,M0
Balangga,Balangga,K (Yellow-Orange) Star,K1
Iteliuona,Iteliuona,G (White-Yellow) Star,G5
Killke,Killke A,K (Yellow-Orange) Star,K6
Borotrimpo,Borotrimpo,K (Yellow-Orange) Star,K9
Votai,Votai A,K (Yellow-Orange) Star,K2
Abibitoa,Abibitoa A,K (Yellow-Orange) Star,K4
Chinautsu,Chinautsu A,K (Yellow-Orange) Star,K4
Capricorni Sector FW-W c1-27,Capricorni Sector FW-W c1-27 A,K (Yellow-Orange) Star,K0
Col 285 Sector XA-E c12-27,Col 285 Sector XA-E c12-27,K (Yellow-Orange) Star,K6
Liu Yanec,Liu Yanec,M (Red dwarf) Star,M0
Chakmo,Chakmo,K (Yellow-Orange) Star,K9
Iyatio,Iyatio,K (Yellow-Orange) Star,K3
Parenni,Parenni A,M (Red dwarf) Star,M0
Warkushanui,Warkushanui A,G (White-Yellow) Star,G6
Wasetae,Wasetae A,K (Yellow-Orange) Star,K4
Arverni,Arverni,G (White-Yellow) Star,G8
Acokwa,Acokwa,K (Yellow-Orange) Star,K8
Jadlillke,Jadlillke,K (Yellow-Orange) Star,K4
Kobog,Kobog,K (Yellow-Orange) Star,K7
Phra Saman,HIP 22517,B (Blue-White) Star,B9
Phra Saman,Phra Saman A,K (Yellow-Orange) Star,K5
Gelong,Gelong,K (Yellow-Orange) Star,K2
Junga,Junga,K (Yellow-Orange) Star,K8
Sesurakapu,Sesurakapu,K (Yellow-Orange) Star,K3
Okinura,Okinura,K (Yellow-Orange) Star,K0
Dumnona,Dumnona,K (Yellow-Orange) Star,K4
Grabika,Grabika A,K (Yellow-Orange) Star,K9
Mbola,Mbola A,K (Yellow-Orange) Star,K1
Greila,Greila,G (White-Yellow) Star,G2
Scorpii Sector EW-W c1-27,Scorpii Sector EW-W c1-27 A,K (Yellow-Orange) Star,K5
Ghimr,Ghimr,K (Yellow-Orange) Star,K7
Putamasin,Putamasin,K (Yellow-Orange) Star,K2
Turir,Turir,K (Yellow-Orange) Star,K1
Ahemaker,Ahemaker,G (White-Yellow) Star,G5
Naiti,Naiti,K (Yellow-Orange) Star,K5
Pachanwen,Pachanwen A,G (White-Yellow) Star,G7
Blatrimpe,Blatrimpe,G (White-Yellow) Star,G0
Lopu Maris,Lopu Maris,K (Yellow-Orange) Star,K4
Li Bestina,Li Bestina A,K (Yellow-Orange) Star,K4
Kilinigua,Kilinigua A,K (Yellow-Orange) Star,K7
Amun,Amun A,K (Yellow-Orange) Star,K7
Amenni,Amenni,M (Red dwarf) Star,M1
Teno,Teno,K (Yellow-Orange) Star,K7
Kanawas,Kanawas,T Tauri Star,TTS9
Dievat,Dievat A,G (White-Yellow) Star,G3
Candecama,Candecama A,K (Yellow-Orange) Star,K3
Ananda,Ananda,M (Red dwarf) Star,M0
Ambibeb,Ambibeb,K (Yellow-Orange) Star,K7
Anukam,Anukam A,M (Red dwarf) Star,M0
Lesheima,Lesheima,K (Yellow-Orange) Star,K9
Shanhauls,Shanhauls,K (Yellow-Orange) Star,K1
Gluscap,Gluscap,K (Yellow-Orange) Star,K1
Nyanktona,Nyanktona,K (Yellow-Orange) Star,K3
Kawila,Kawila,G (White-Yellow) Star,G6
Pilatucates,Pilatucates,K (Yellow-Orange) Star,K6
He Qingola,He Qingola A,K (Yellow-Orange) Star,K1
Apurui,Apurui,K (Yellow-Orange) Star,K2
Bodia,Bodia,K (Yellow-Orange) Star,K6
Taexalk,Taexalk,G (White-Yellow) Star,G7
Smei Ti,Smei Ti A,M (Red dwarf) Star,M0
Albarib,Albarib A,K (Yellow-Orange) Star,K7
Col 285 Sector UE-G c11-27,Col 285 Sector UE-G c11-27,K (Yellow-Orange) Star,K7
Motie,Motie,K (Yellow-Orange) Star,K2
Nantundan,Nantundan,M (Red dwarf) Star,M0
Wenufo,Wenufo,K (Yellow-Orange) Star,K0
Convoumis,Convoumis,K (Yellow-Orange) Star,K3
Sun Pef,Sun Pef,K (Yellow-Orange) Star,K5
Kacha Wit,Kacha Wit A,K (Yellow-Orange) Star,K3
Trifid Sector GW-W d1-220,Trifid Sector GW-W d1-220 A,G (White-Yellow) Star,G1
Hephaestus,Hephaestus A,K (Yellow-Orange) Star,K4
Plaa Aescs QD-T c3-28,Plaa Aescs QD-T c3-28,K (Yellow-Orange) Star,K1
Sawahinn,Sawahinn,K (Yellow-Orange) Star,K3
Djapan,Djapan,M (Red dwarf) Star,M0
Shapanidoog,Shapanidoog,K (Yellow-Orange) Star,K9
Auta Isuang,Auta Isuang A,G (White-Yellow) Star,G9
Tring,Tring A,K (Yellow-Orange) Star,K1
Gogonir,Gogonir A,K (Yellow-Orange) Star,K0
Tigura,Tigura A,K (Yellow-Orange) Star,K1
Shana Bei,Shana Bei,K (Yellow-Orange) Star,K3
Hellapa,Hellapa A,K (Yellow-Orange) Star,K9
Col 285 Sector XA-E c12-28,Col 285 Sector XA-E c12-28,T Tauri Star,TTS2
Hyades Sector LD-S c4-28,Hyades Sector LD-S c4-28,K (Yellow-Orange) Star,K4
Suraci,Suraci,M (Red dwarf) Star,M1
Hu Jona,Hu Jona A,K (Yellow-Orange) Star,K4
Thakalaa,Thakalaa,K (Yellow-Orange) Star,K8
Choerii,Choerii,K (Yellow-Orange) Star,K1
Alrai Sector JC-V c2-28,Alrai Sector JC-V c2-28,T Tauri Star,TTS2
Radimichs,Radimichs A,K (Yellow-Orange) Star,K5
Raluvii,Raluvii,K (Yellow-Orange) Star,K5
Hajangai,Hajangai,K (Yellow-Orange) Star,K3
Bao Yan Luo,Bao Yan Luo,K (Yellow-Orange) Star,K9
Hambula,Hambula A,K (Yellow-Orange) Star,K5
Apoyota,Apoyota A,M (Red dwarf) Star,M0
Col 285 Sector UK-E c12-28,Col 285 Sector UK-E c12-28 A,K (Yellow-Orange) Star,K2
Ulanquiates,Ulanquiates,K (Yellow-Orange) Star,K2
Tapirape,Tapirape A,K (Yellow-Orange) Star,K1
Sengu,Sengu,K (Yellow-Orange) Star,K8
Yudhumij,Yudhumij,K (Yellow-Orange) Star,K0
Wolf 1316,Wolf 1316 A,K (Yellow-Orange) Star,K0
Hehe,Hehe A,G (White-Yellow) Star,G7
Dvoruba,Dvoruba,M (Red dwarf) Star,M0
Chukchu,Chukchu,M (Red dwarf) Star,M0
Meidubi,Meidubi A,K (Yellow-Orange) Star,K3
Igorodimos,Igorodimos,M (Red dwarf) Star,M1
Nden,Nden A,K (Yellow-Orange) Star,K1
Chacocha,Chacocha,K (Yellow-Orange) Star,K8
Maidjin,Maidjin,K (Yellow-Orange) Star,K8
Checha,Checha,K (Yellow-Orange) Star,K7
Bero,Bero,K (Yellow-Orange) Star,K9
Oto,Oto A,K (Yellow-Orange) Star,K5
Miribusha,Miribusha,K (Yellow-Orange) Star,K6
Barati,Barati A,K (Yellow-Orange) Star,K4
Cynetek,Cynetek A,G (White-Yellow) Star,G9
Pangerang,Pangerang,K (Yellow-Orange) Star,K5
Cavincan,Cavincan A,K (Yellow-Orange) Star,K9
Patabracoc,Patabracoc,G (White-Yellow) Star,G5
Vajrapem,Vajrapem,K (Yellow-Orange) Star,K0
Hyades Sector LX-T c3-28,Hyades Sector LX-T c3-28 A,K (Yellow-Orange) Star,K6
Yamatji,Yamatji A,K (Yellow-Orange) Star,K6
Kwazahui,Kwazahui,K (Yellow-Orange) Star,K6
Haolin Ti,Haolin Ti,K (Yellow-Orange) Star,K3
Shen Yi,Shen Yi A,G (White-Yellow) Star,G7
Raksaka,Raksaka,K (Yellow-Orange) Star,K0
Daina,Daina A,K (Yellow-Orange) Star,K8
Kimih,Kimih,K (Yellow-Orange) Star,K0
Baedi Di,Baedi Di A,K (Yellow-Orange) Star,K5
Pi Dhod,Pi Dhod,G (White-Yellow) Star,G6
Gungamato,Gungamato A,K (Yellow-Orange) Star,K2
Koshe,Koshe,K (Yellow-Orange) Star,K1
Anantet,Anantet A,K (Yellow-Orange) Star,K6
Mangwe,Mangwe A,K (Yellow-Orange) Star,K8
Marichi,Marichi A,K (Yellow-Orange) Star,K1
Nadur,Nadur,K (Yellow-Orange) Star,K1
Shakmbu,Shakmbu A,K (Yellow-Orange) Star,K1
Kamba,Kamba,K (Yellow-Orange) Star,K1
Laturesingo,Laturesingo A,K (Yellow-Orange) Star,K3
Col 285 Sector BA-P c6-28,Col 285 Sector BA-P c6-28 A,K (Yellow-Orange) Star,K5
Coastin,Coastin,K (Yellow-Orange) Star,K8
NGC 6188 Sector LC-V c2-28,NGC 6188 Sector LC-V c2-28,M (Red dwarf) Star,M2
NGC 6188 Sector LC-V c2-28,Thaileia EN-D c15-28 A,K (Yellow-Orange) Star,K1
Hreip,Hreip A,T Tauri Star,TTS9
Col 285 Sector KY-H c10-29,Col 285 Sector KY-H c10-29 A,T Tauri Star,TTS3
Ancento,Ancento,K (Yellow-Orange) Star,K5
Jementunde,Jementunde A,K (Yellow-Orange) Star,K1
Kunab,Kunab,K (Yellow-Orange) Star,K7
Karovices,Karovices A,K (Yellow-Orange) Star,K6
Paribela,Paribela,K (Yellow-Orange) Star,K0
Hachiman,Hachiman A,K (Yellow-Orange) Star,K4
Gorynich,Gorynich A,G (White-Yellow) Star,G6
Capricorni Sector KC-V c2-29,Capricorni Sector KC-V c2-29,K (Yellow-Orange) Star,K3
Llwyddi Di,Llwyddi Di A,K (Yellow-Orange) Star,K1
Zemliang,Zemliang A,G (White-Yellow) Star,G5
Col 285 Sector UK-E c12-29,Col 285 Sector UK-E c12-29 A,K (Yellow-Orange) Star,K2
Latjang,Latjang,G (White-Yellow) Star,G5
Lei Hesang,Lei Hesang A,K (Yellow-Orange) Star,K9
NLTT 55164,NLTT 55164,White Dwarf (D) Star,null
Narenses,Narenses,K (Yellow-Orange) Star,K6
Changthini,Changthini A,K (Yellow-Orange) Star,K4
Callae,Callae,K (Yellow-Orange) Star,K8
Scorpii Sector GR-W c1-29,Scorpii Sector GR-W c1-29 A,G (White-Yellow) Star,G4
Pera,Pera,K (Yellow-Orange) Star,K8
Chang Yeh,Chang Yeh A,K (Yellow-Orange) Star,K4
Kokokomi,Kokokomi A,K (Yellow-Orange) Star,K2
Poemaku,Poemaku A,K (Yellow-Orange) Star,K7
Gaohikel,Gaohikel,K (Yellow-Orange) Star,K8
Scorpii Sector FW-W c1-29,Scorpii Sector FW-W c1-29 A,K (Yellow-Orange) Star,K6
Inupiates,Inupiates A,K (Yellow-Orange) Star,K9
Renpeians,Renpeians,K (Yellow-Orange) Star,K8
Scorpii Sector EL-Y c29,Scorpii Sector EL-Y c29 A,G (White-Yellow) Star,G7
Col 285 Sector XK-E c12-29,Col 285 Sector XK-E c12-29,K (Yellow-Orange) Star,K4
Amementi,Amementi,K (Yellow-Orange) Star,K7
Piorimudjar,Piorimudjar A,G (White-Yellow) Star,G4
Almudji,Almudji,G (White-Yellow) Star,G5
Daesuratun,Daesuratun,G (White-Yellow) Star,G7
Cigui,Cigui A,K (Yellow-Orange) Star,K6
Kutenis,Kutenis A,G (White-Yellow) Star,G6
Choenpetese,Choenpetese A,M (Red dwarf) Star,M3
Dyavareldi,Dyavareldi A,M (Red dwarf) Star,M0
Col 285 Sector SJ-G c11-29,Col 285 Sector SJ-G c11-29,K (Yellow-Orange) Star,K7
Itzamni,Itzamni A,K (Yellow-Orange) Star,K9
Austa,Austa A,M (Red dwarf) Star,M0
Ngarawe,Ngarawe,K (Yellow-Orange) Star,K5
Calou,Calou A,M (Red dwarf) Star,M2
Luphinn,Luphinn A,M (Red dwarf) Star,M0
Anototo,Anototo A,K (Yellow-Orange) Star,K4
Gommatchal,Gommatchal,K (Yellow-Orange) Star,K4
Lega,Lega,T Tauri Star,TTS9
Wregoe XQ-L c21-29,Wregoe XQ-L c21-29,G (White-Yellow) Star,G5
Canis Subridens,Canis Subridens A,G (White-Yellow) Star,G1
Krinda,Krinda A,K (Yellow-Orange) Star,K7
Hachan Ku,Hachan Ku,K (Yellow-Orange) Star,K1
Colai,Colai,K (Yellow-Orange) Star,K5
Ti Wanga,Ti Wanga,T Tauri Star,TTS5
Pegasi Sector GR-V c2-30,Pegasi Sector GR-V c2-30 A,T Tauri Star,TTS3
Frigga,Frigga,K (Yellow-Orange) Star,K5
Malsungga,Malsungga A,K (Yellow-Orange) Star,K0
Juan,Juan,K (Yellow-Orange) Star,K5
Lan Tzak,Lan Tzak,K (Yellow-Orange) Star,K4
Noanama,Noanama A,K (Yellow-Orange) Star,K4
Chang Kuo Lao,Chang Kuo Lao,K (Yellow-Orange) Star,K5
Bacara,Bacara,K (Yellow-Orange) Star,K9
Markin,Markin,K (Yellow-Orange) Star,K5
Rajgonta,Rajgonta,K (Yellow-Orange) Star,K0
Oleleuts,Oleleuts,K (Yellow-Orange) Star,K2
Kokowar,Kokowar,K (Yellow-Orange) Star,K4
Vana,Vana A,K (Yellow-Orange) Star,K8
HIP 19591,HIP 19591,K (Yellow-Orange) Star,K0
Mantxe,Mantxe,G (White-Yellow) Star,G5
Zelano,Zelano A,K (Yellow-Orange) Star,K5
Pilakulaman,Pilakulaman A,G (White-Yellow) Star,G8
Cavins,Cavins A,K (Yellow-Orange) Star,K4
Kunggi,Kunggi A,K (Yellow-Orange) Star,K9
Mulayo,Mulayo,K (Yellow-Orange) Star,K4
Pilngalu,Pilngalu A,M (Red dwarf) Star,M2
Ongkuma,Ongkuma,G (White-Yellow) Star,G9
Ba Nefes,Ba Nefes A,G (White-Yellow) Star,G7
Beatis Secundus,Beatis Secundus,K (Yellow-Orange) Star,K9
Zosinambure,Zosinambure,M (Red dwarf) Star,M2
Asvini,Asvini A,K (Yellow-Orange) Star,K2
Karnarki,Karnarki,K (Yellow-Orange) Star,K3
Timbalderis,Timbalderis A,K (Yellow-Orange) Star,K1
Ekoimunggu,Ekoimunggu A,K (Yellow-Orange) Star,K3
Caucini,Caucini,K (Yellow-Orange) Star,K0
Col 285 Sector XK-E c12-30,Col 285 Sector XK-E c12-30 A,K (Yellow-Orange) Star,K8
Devaku,Devaku,K (Yellow-Orange) Star,K5
Duryampas,Duryampas A,K (Yellow-Orange) Star,K2
Udegobo,Udegobo A,K (Yellow-Orange) Star,K9
Amarishvaru,Amarishvaru,K (Yellow-Orange) Star,K4
No Mina,No Mina,G (White-Yellow) Star,G8
Chandh,Chandh,K (Yellow-Orange) Star,K4
Takak,Takak,M (Red dwarf) Star,M0
Amemait,Amemait,K (Yellow-Orange) Star,K3
Col 285 Sector FG-N c7-30,Col 285 Sector FG-N c7-30,K (Yellow-Orange) Star,K8
Poletani,Poletani A,K (Yellow-Orange) Star,K0
Zary Orany,Zary Orany,M (Red dwarf) Star,M2
Col 285 Sector KY-H c10-31,Col 285 Sector KY-H c10-31 A,K (Yellow-Orange) Star,K5
Piegfrielta,Piegfrielta A,K (Yellow-Orange) Star,K2
Borongoreng,Borongoreng,K (Yellow-Orange) Star,K8
Bagalis,Bagalis A,M (Red dwarf) Star,M0
Rainbinan,Rainbinan,T Tauri Star,TTS3
Taotienses,Taotienses A,K (Yellow-Orange) Star,K5
Capricorni Sector KC-V c2-31,Capricorni Sector KC-V c2-31,K (Yellow-Orange) Star,K7
Vak,Vak,M (Red dwarf) Star,M0
Erdi,Erdi,K (Yellow-Orange) Star,K1
Sameni,Sameni,K (Yellow-Orange) Star,K0
Djendelis,Djendelis A,K (Yellow-Orange) Star,K3
Kusauts,Kusauts,K (Yellow-Orange) Star,K2
Inino,Inino A,K (Yellow-Orange) Star,K9
Ralu,Ralu,G (White-Yellow) Star,G9
Chambo,Chambo,K (Yellow-Orange) Star,K6
Sachmet,Sachmet A,K (Yellow-Orange) Star,K2
Kaukai,Kaukai A,K (Yellow-Orange) Star,K2
Laiawa,Laiawa,K (Yellow-Orange) Star,K3
Rabakshany,Rabakshany A,K (Yellow-Orange) Star,K2
Cliocassi,Cliocassi,K (Yellow-Orange) Star,K8
Hinus,Hinus A,K (Yellow-Orange) Star,K6
Tibitibi,Tibitibi,K (Yellow-Orange) Star,K3
Turona,Turona,K (Yellow-Orange) Star,K0
Dogoneja,Dogoneja A,K (Yellow-Orange) Star,K7
Njambi,Njambi,G (White-Yellow) Star,G9
Tangphonsa,Tangphonsa,K (Yellow-Orange) Star,K8
Suttora,Suttora,K (Yellow-Orange) Star,K6
Lokaantii,Lokaantii A,K (Yellow-Orange) Star,K2
Poqomawi,Poqomawi A,K (Yellow-Orange) Star,K4
Visto,Visto A,G (White-Yellow) Star,G2
Tawembara,Tawembara A,K (Yellow-Orange) Star,K1
Lambog,Lambog A,K (Yellow-Orange) Star,K9
Cantsu,Cantsu,K (Yellow-Orange) Star,K8
Antliae Sector JM-W c1-31,Antliae Sector JM-W c1-31,K (Yellow-Orange) Star,K3
Rudrato,Rudrato,G (White-Yellow) Star,G6
Hesqui Xing,Hesqui Xing,G (White-Yellow) Star,G9
Synteri,Synteri,T Tauri Star,TTS9
Zvorsingin,Zvorsingin,K (Yellow-Orange) Star,K5
Candiaei,Candiaei,K (Yellow-Orange) Star,K3
Djalakuru,Djalakuru,K (Yellow-Orange) Star,K3
Varduli,Varduli A,M (Red dwarf) Star,M0
Obamba,Obamba A,M (Red dwarf) Star,M1
Himanes,Himanes,K (Yellow-Orange) Star,K7
Capricorni Sector KC-V c2-32,Capricorni Sector KC-V c2-32 A,K (Yellow-Orange) Star,K6
Gunapisni,Gunapisni,G (White-Yellow) Star,G8
Balduk,Balduk,K (Yellow-Orange) Star,K2
HIP 20777,HIP 20777,K (Yellow-Orange giant) Star,K2
DX 799,DX 799 A,L (Brown dwarf) Star,L8
Carener,Carener A,K (Yellow-Orange) Star,K2
Giguara,Giguara,K (Yellow-Orange) Star,K2
Jarnuekenk,Jarnuekenk A,K (Yellow-Orange) Star,K8
Arro Naga,Arro Naga A,K (Yellow-Orange) Star,K2
Chuvaleni,Chuvaleni,K (Yellow-Orange) Star,K8
Camazotz,Camazotz,K (Yellow-Orange) Star,K6
Amuza,Amuza A,K (Yellow-Orange) Star,K5
Kamaki,Kamaki A,T Tauri Star,TTS2
Gungkuni,Gungkuni,M (Red dwarf) Star,M0
Any Na,Any Na,G (White-Yellow) Star,G9
Onileut,Onileut,M (Red dwarf) Star,M1
Bwena,Bwena,K (Yellow-Orange) Star,K2
Rugievit,Rugievit A,K (Yellow-Orange) Star,K7
Dyinyinga,Dyinyinga,T Tauri Star,TTS7
Sarawoyn,Sarawoyn,K (Yellow-Orange) Star,K3
Col 285 Sector FG-N c7-32,Col 285 Sector FG-N c7-32,K (Yellow-Orange) Star,K7
Alkuylkano,Alkuylkano A,G (White-Yellow) Star,G9
Belgitan,Belgitan A,M (Red dwarf) Star,M0
Dagudi,Dagudi,T Tauri Star,TTS0
Aegir,Aegir,K (Yellow-Orange) Star,K1
Cai Quapa,Cai Quapa,K (Yellow-Orange) Star,K0
Virud,Virud,M (Red dwarf) Star,M1
Sotigur,Sotigur,K (Yellow-Orange) Star,K1
Kuungunitou,Kuungunitou,G (White-Yellow) Star,G3
Mulachi,Mulachi A,K (Yellow-Orange) Star,K0
Quan Gurus,Quan Gurus,K (Yellow-Orange) Star,K8
Gharing,Gharing A,K (Yellow-Orange) Star,K8
Anagorovici,Anagorovici,K (Yellow-Orange) Star,K3
Gabraceni,Gabraceni,K (Yellow-Orange) Star,K4
Contien,Contien,G (White-Yellow) Star,G4
Lemowo,Lemowo,G (White-Yellow) Star,G4
Santal,Santal,M (Red dwarf) Star,M1
Col 285 Sector XK-E c12-33,Col 285 Sector XK-E c12-33 A,K (Yellow-Orange) Star,K3
Grebinawair,Grebinawair A,K (Yellow-Orange) Star,K3
Binar,Binar,K (Yellow-Orange) Star,K5
Lai Shui,Lai Shui,M (Red dwarf) Star,M1
Ngadjuk,Ngadjuk,G (White-Yellow) Star,G5
Fonga,Fonga A,K (Yellow-Orange) Star,K4
Perauni,Perauni A,K (Yellow-Orange) Star,K0
Mriya,Mriya A,M (Red dwarf) Star,M1
Blua Eaec US-Z b46-4,Blua Eaec US-Z b46-4,M (Red dwarf) Star,M9
Mirateje,Mirateje A,K (Yellow-Orange) Star,K3
Col 285 Sector JY-H c10-34,Col 285 Sector JY-H c10-34 A,K (Yellow-Orange) Star,K0
Yakamu,Yakamu A,K (Yellow-Orange) Star,K3
Conian,Conian A,T Tauri Star,TTS4
Byel Tan,Byel Tan,K (Yellow-Orange) Star,K6
Pukkeenat,Pukkeenat,K (Yellow-Orange) Star,K5
Dharuek,Dharuek A,M (Red dwarf) Star,M0
Kelin Samba,Kelin Samba,K (Yellow-Orange) Star,K5
Balatu,Balatu,K (Yellow-Orange) Star,K2
Tupeng Yu,Tupeng Yu A,K (Yellow-Orange) Star,K7
Scorpii Sector HR-W c1-34,Scorpii Sector HR-W c1-34 A,K (Yellow-Orange) Star,K7
Awang,Awang,K (Yellow-Orange) Star,K7
Witsegernir,Witsegernir,K (Yellow-Orange) Star,K1
Oscabi,Oscabi A,K (Yellow-Orange) Star,K9
Gucuman,Gucuman,K (Yellow-Orange) Star,K2
Atrebo,Atrebo,M (Red dwarf) Star,M1
Byeia Eurk IE-L b49-4,Byeia Eurk IE-L b49-4,M (Red dwarf) Star,M3
Robigo,Robigo,M (Red dwarf) Star,M2
Bormuninus,Bormuninus A,M (Red dwarf) Star,M0
Kimici,Kimici,M (Red dwarf) Star,M3
Aspel,Aspel,M (Red dwarf) Star,M4
Parinta,Parinta,M (Red dwarf) Star,M1
Equagei,Equagei A,M (Red dwarf) Star,M6
Bipewyan,Bipewyan,M (Red dwarf) Star,M0
Can Nik,Can Nik A,M (Red dwarf) Star,M3
Kutkhab,Kutkhab A,M (Red dwarf) Star,M3
Balardh,Balardh A,M (Red dwarf) Star,M6
Malaman,Malaman A,M (Red dwarf) Star,M6
Came,Came A,M (Red dwarf) Star,M0
Col 285 Sector JJ-E b13-4,Col 285 Sector JJ-E b13-4 A,M (Red dwarf) Star,M2
Pachanu,Pachanu A,M (Red dwarf) Star,M1
Ari He,Ari He,M (Red dwarf) Star,M2
